NAMA_DI_REKAP,NAMA_DI_REKONSILIASI
UPPD KOTA SEMARANG 1,SAMSAT 1 PENGECEKAN
UPPD KOTA SEMARANG 2,SAMSAT 2 PENGECEKAN
UPPD KOTA SEMARANG 3,SAMSAT 3 PENGECEKAN
DINAS ESDM PROVINSI JATENG,ESDM PROVINSI (PENGEMUDI) PENGECEKAN
DINAS ESDM MERAPI MAGELANG,ESDM MERAPI KEAMANAN MAGELANG PENGECEKAN
DINAS ESDM MERAPI MAGELANG CAKRA,ESDM MERAPI MAGELANG KEBERSIHAN (PT. CAKRA AP) PENGECEKAN
PT KIMIA FARMA TRADING & DISTRIBUTION,PT. KIMIA FARMA TD PENGECEKAN
PT POLIPLAS MAKMUR SANTOSA SMG,PT. POLIPLAS SMG PENGECEKAN
PT POLIPLAS MAKMUR SANTOSA UNG PAM,PT. POLIPLAS UNGARAN KEAMANAN PENGECEKAN
PT POLIPLAS MAKMUR SANTOSA UNG CS,PT. POLIPLAS UNGARAN KEBERSIHAN PENGECEKAN
PT SUKA SARI MITRA MANDIRI,PT. SUKA SARI MM PENGECEKAN
PT SUMBER MASANDA JAYA BREBES KEAMANAN,PT. SUMBER MASANDA JAYA (KEAMANAN) PENGECEKAN
PT SUMBER MASANDA JAYA BREBES KEBERSIHAN,PT. SUMBER MASANDA JAYA (KEBERSIHAN) PENGECEKAN
RSUD DR ADHIYATMA ADMIN,RSUD ADHYATMA ADMIN PENGECEKAN
RSUD DR ADHIYATMA SATPAM,RSUD ADHYATMA KEAMANAN PENGECEKAN
PT QUEEN MUKTI,HOTEL QUIRIN PENGECEKAN
